balancing_authority,date,daily_peak_mw,daily_min_mw,daily_max_ramp_mw,daily_ramp_std,hours_observed,daily_range_mw,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z,fragility_01
PJM,2025-03-30,83089.0,67629.0,3149.0,1586.6040933115744,24,15460.0,0.2916666666666667,-1.4755173913023294,-1.8978895682689598,0.21392653054302538,-3.159480429028264,0.12717165744497405
PJM,2025-03-31,91987.0,70854.0,5498.0,2097.809048590416,24,21133.0,0.2916666666666667,-0.9720847846489513,-0.1784908118253295,0.21392653054302538,-0.9366490659312554,0.3465529780861375
PJM,2025-04-01,92542.0,74125.0,6702.0,2491.497698332692,24,18417.0,0.20833333333333334,-0.940683897180686,0.7028016967988217,-0.4227853848763688,-0.6606675852582331,0.3737908435885368
PJM,2025-04-02,93121.0,78580.0,6899.0,2317.471502881247,24,14541.0,0.3333333333333333,-0.9079251334975768,0.8469998896550988,0.5322824882527222,0.4713572444102442,0.4855155143189544
PJM,2025-04-03,91644.0,74152.0,5541.0,2203.215781714787,24,17492.0,0.4583333333333333,-0.9914910988860954,-0.14701607937446695,1.4873503613818133,0.34884318312125084,0.47342404529935034
PJM,2025-04-04,90883.0,73411.0,5012.0,2135.3153298684047,24,17472.0,0.5416666666666666,-1.0345470905317709,-0.5342284855722875,2.124062276801207,0.5552867006971489,0.4937988934661976
PJM,2025-04-05,87422.0,70404.0,3401.0,1724.2871978239907,24,17018.0,0.20833333333333334,-1.230364156347386,-1.713432996696463,-0.4227853848763688,-3.3665825379202174,0.1067318099106184
PJM,2025-04-06,85441.0,71178.0,3155.0,1597.465299797767,24,14263.0,0.5,-1.3424455222476266,-1.8934977451362813,1.8057063190915106,-1.4302369482923971,0.2978385486955095
PJM,2025-04-07,94328.0,75469.0,6255.0,2154.2056637347014,24,18859.0,0.5,-0.839635275526052,0.3756108734142738,1.8057063190915106,1.3416819169797325,0.5714118082190283
PJM,2025-04-08,98746.0,81567.0,7557.0,2609.176659519188,24,17179.0,0.2916666666666667,-0.5896728956435364,1.328636493205507,0.21392653054302538,0.952890128104996,0.5330401811519426
PJM,2025-04-09,103210.0,85920.0,7311.0,2857.646391130143,24,17290.0,0.125,-0.3371079196825699,1.1485717447656887,-1.059497300295763,-0.2480334752126443,0.4145155775950193
PJM,2025-04-10,94756.0,81381.0,6552.0,2338.522771670866,24,13375.0,0.375,-0.8154198163613356,0.5930061184818592,0.8506384459624193,0.6282247480829429,0.5009974805592774
PJM,2025-04-11,95225.0,79517.0,5800.0,2121.1021126059563,24,15708.0,0.625,-0.788884651996261,0.04256428585282137,2.7607741922206017,2.014453826077162,0.6378107228458368
PJM,2025-04-12,92470.0,79612.0,3379.0,1448.4113179668586,24,12858.0,0.20833333333333334,-0.9447575258252177,-1.7295363481829509,-0.4227853848763688,-3.0970792588845373,0.13333031227725575
PJM,2025-04-13,86305.0,76353.0,2506.0,1305.649512833486,24,9952.0,0.25,-1.293561978513246,-2.3685466139876716,-0.10442942716667182,-3.7665380196675895,0.06725838730191376
